,geoid,county_name,state_name,Year,readings_count,stddev_xco2,avg_xco2,delta,total_delta,pct_change
0,01001,Autauga,Alabama,2015,43,0.9457029747418699,396.2575,,,
1,01001,Autauga,Alabama,2016,268,1.0874211747182518,403.38025,7.1227417,7.1227417,1.0179751
2,01001,Autauga,Alabama,2017,67,1.1909196559152593,403.8767,0.49645996,7.6192017,1.0012307
3,01001,Autauga,Alabama,2018,437,2.605161759669239,408.49088,4.6141663,12.233368,1.0114247
4,01001,Autauga,Alabama,2019,355,1.0449607719451262,410.44687,1.9559937,14.189362,1.0047884
5,01001,Autauga,Alabama,2020,6,0.6202229564306192,414.53,4.08313,18.272491,1.009948
6,01001,Autauga,Alabama,2021,201,0.7240556256637932,417.0345,2.504486,20.776978,1.0060418
7,01001,Autauga,Alabama,2022,46,3.09297472941246,416.19778,-0.83670044,19.940277,0.9979937
8,01003,Baldwin,Alabama,2015,337,1.5538285149006352,401.2025,,,
9,01003,Baldwin,Alabama,2016,739,2.1284068573361483,402.85437,1.6518555,1.6518555,1.0041173
10,01003,Baldwin,Alabama,2017,445,1.2725594684668258,406.6725,3.8181152,5.4699707,1.0094776
11,01003,Baldwin,Alabama,2018,312,2.453136402570642,407.80045,1.1279602,6.597931,1.0027736
12,01003,Baldwin,Alabama,2019,476,1.3324473723652184,411.69974,3.899292,10.497223,1.0095618
13,01003,Baldwin,Alabama,2020,683,1.4953470266047793,414.09256,2.3928223,12.890045,1.005812
14,01003,Baldwin,Alabama,2021,407,1.1063512062449719,416.79282,2.7002563,15.5903015,1.0065209
15,01003,Baldwin,Alabama,2022,666,1.9148767871355814,418.02994,1.2371216,16.827423,1.0029682
16,01005,Barbour,Alabama,2015,166,0.7637706531162571,400.00598,,,
17,01005,Barbour,Alabama,2016,116,1.2734947058597599,404.57,4.564026,4.564026,1.0114099
18,01005,Barbour,Alabama,2017,6,1.157432046505039,407.06454,2.4945374,7.058563,1.0061659
19,01005,Barbour,Alabama,2018,256,1.5552593479427952,408.07828,1.0137329,8.072296,1.0024904
